identifier,name,description,image,url,fileFormat,interior,tipo-evento,isAccesibleForFree,eventAttendanceMode,workPerformed,doorTime,audience,maximumAttendeeCapacity,typicalAgeRange,startDate,endDate,eventStatus,addressRegion,addressLocality,nombre,id,streetAddress,postalCode
1285153785025,'Caravana escape room - Houdini experience'' (HÉCTOR SANSEGUNDO),"Disfruta de una mezcla perfecta de espectáculo de teatro y magia dentro de un museo inversivo , y forma parte de la historia viviendo un escape room único, original y con sorpresas inolvidables.","https://datosabiertos.jcyl.es/web/jcyl/binarios/529/599/CARAVANA%20ESCAPE%20ROOM,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.hectorsansegundo.com/,HTML,false,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Público familiar,,0-,2022-08-12T22:00+01:00,2022-08-12T01:00+01:00,Por empezar,Salamanca,Lumbrales,Centro Cultural de la Villa (Lumbrales),1284236227322,"Plaza Mayor, 1",37240
1285153767042,'Circo mágico' (CRISPÍN D'OLOT),"¡Llega el Circo, Señores y Señoras! Artistas de los lugares más remotos del Mundo. Personajes de los cinco continentes, presentados por un peculiar Jefe de pista, en el que se representan diferentes disciplinas malabarísticas, manipulación de objetos, equilibrios imposibles, música, danza, cuentos, y muchos números que encantaran a grandes y a pequeños. Pasen y vean.... el circo mundial va a comenzar.","https://datosabiertos.jcyl.es/web/jcyl/binarios/52/812/CRISPIN%20DOLOT,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285153767042/Comunicacion,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,true,Prensecial,,,Público familiar,,0-,2022-08-11T22:00+01:00,2022-08-11T23:00+01:00,Por empezar,Salamanca,Vitigudino,Centro Cultural (Vitigudino),1284236230890,"C/ San Blas, 2.",37210
1285139023785,'Danzando por el mundo' (ARTESHOW ESPECTÁCULOS S.L.),"Durante toda su duración, los espectadores están viendo una variedad de danzas como: flamenco, danzas orientales, clásico español, folclore nacional... y también tenemos a nuestro gran cantante y maestro de ceremonias Raúl Ventura, reconocido mundialmente con numerosos premios de música y representante de España de música Lírica que nos ofrecerá un recorrido por varios estilos como: boleros, pasodobles, rancheras, zarzuela y muchos mas...","https://datosabiertos.jcyl.es/web/jcyl/binarios/907/836/ARTESHOW%20ESPECT%C3%81CULOS%20S.L.,12.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.espectaculosarteshow.es/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/danza,false,Prensecial,,,Adultos,,18-,2022-04-16T21:30+01:00,2022-04-16T23:00+01:00,Terminado,Salamanca,Lumbrales,Centro Cultural de la Villa (Lumbrales),1284236227322,"Plaza Mayor, 1",37240
1285150475149,'¡El gran Cáliban! (las locas historias de un circo en miniatura)' (TEATRO ALÚA),"Cáliban es el antiguo propietario del mayor circo de todos los tiempos, actualmente arruinado ya que la gente ha dejado de ir al circo. Pero a pesar de tener solo un botón y polvo en el bolsillo, Cáliban no cesará en su empeño de llevar la ilusión y la magia del circo a todos los rincones del mundo.","https://datosabiertos.jcyl.es/web/jcyl/binarios/145/356/El%20gran%20C%C3%A1liban,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.aluateatro.com/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Público familiar,,0-,2022-07-22T12:00+01:00,2022-07-22T12:40+01:00,Por empezar,Salamanca,Sancti-Spíritus,Centro Cultural (Sancti-Spíritus),1284305888186,"C/ Salamanca, 82",37470
1285142985689,'El mueble' (HISTRIÓN TEATRO),"Tati y Carlos, Carlos y Tati serían la pareja ideal si no fuera porque el montaje de un sencillo mueble sacará a la luz su complicada convivencia después de veinticinco años.","https://datosabiertos.jcyl.es/web/jcyl/binarios/479/1013/EL%20MUEBLE,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://histrionteatro.es/espectaculos/el-mueble/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Adultos,,18-,2022-05-06T20:30+01:00,2022-05-06T21:40+01:00,Terminado,Salamanca,Peñaranda de Bracamonte,Teatro Calderón de la Barca,1284236228203,"C/ Cerrajeros, 16",37300
1285151041284,'Los mentalistas' (LA CHISTERA MÁGICA),La pareja formada por la rusa Olga Maslovska y el mentalista-coaching George Loprie serán los encargados de acompañar al publico a este viaje tan misterioso y divertido.,"https://datosabiertos.jcyl.es/web/jcyl/binarios/659/822/Los%20mentalistas,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285151041284/Comunicacion,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/magia,,Prensecial,,,Adultos,,18-,2022-07-26T22:30+01:00,2022-07-26T23:30+01:00,Por empezar,Salamanca,Ledesma,Auditorio del Centro Comarcal de Nuevas Tecnologías (Ledesma),1285139476734,Plaza Verdura 12,37100
1285139492165,'Los zapateros y otras fábulas' (CUENTACUENTOS KELLER),"Esta sesión consta de cinco cuentos cuyos personajes son Perros, Gatos, Duendes, zapateros y diablillos, viven historias fantásticas. Mezcla cuentos de tradición europea, fabulas orientales y adaptaciones orales de albanes de cuentos infantiles. ","https://datosabiertos.jcyl.es/web/jcyl/binarios/931/494/CUENTOS%20DE%20BRUJAS,%20SAPOS.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285139492165/Comunicacion,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,,Prensecial,,,Público familiar,,0-,2022-04-22T12:00+01:00,2022-04-22T12:50+01:00,Terminado,Salamanca,Ledesma,Auditorio del Centro Comarcal de Nuevas Tecnologías (Ledesma),1285139476734,Plaza Verdura 12,37100
1285143668478,'Muerte de un viajante' (OKAPI PRODUCCIONES),"Willy Loman es un viajante de comercio que ha entregado todo su esfuerzo y su carrera profesional a la empresa para la que trabaja. Su único objetivo es darle una vida mejor a su familia, su mujer y sus dos hijos, que le adoran y a los que quiere inculcarles la ambición por triunfar y progresar en la escala social.","https://datosabiertos.jcyl.es/web/jcyl/binarios/346/805/Muerte%20de%20un%20viajante,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://okapiproducciones.com/muerte-viajante/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Adultos,,18-,2022-05-13T21:00+01:00,2022-05-13T22:35+01:00,Terminado,Salamanca,Salamanca,Teatro Liceo de Salamanca,1284236229363,Plaza del Liceo s/n,37002
1285142371124,'Un sibarita con varita' (HÉCTOR SAN SEGUNDO),"""Un sibarita con varita"", su personaje es disparatado, cómico y alocado y su magia es tan increíble, que cada minuto en escena es desternillantemente e irrepetible. Un espectáculo pensado para que toda la familia pase un rato inolvidable con grandes aparatos, magia participativa y muchas, muchas risas.","https://datosabiertos.jcyl.es/web/jcyl/binarios/41/664/Un%20sibarita%20con%20varita,10.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.hectorsansegundo.com/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/circo,,Prensecial,,,Público familiar,,0-,2022-05-04T19:00+01:00,2022-05-04T20:10+01:00,Terminado,Salamanca,Villamayor,Teatro Casa de la Cultura Antonio Gamoneda (Villamayor),1284305892589,"C/ Escuelas Nuevas, s/n",37185
1285140678968,'¡Viva la Pepa!' (PENTACIÓN),"Pepa es una mujer sin futuro, madre soltera de dos gemelas que vive la vida alimentada tan solo por el aire que respira y, quizá, por la positividad y la sonrisa que nunca pierde ante tanta amargura.

Pero de pronto todo cambia y, de la noche a la mañana, se convierte sin quererlo en una heroína. Los medios de comunicación hacen de ella la persona más popular del momento y políticos, periodistas y programas de televisión se la disputan.

Su vida gris parece volverse rosa y las promesas de ayudas para sus hijos, para su alquiler, para todo, poco a poco se olvidan. Ante tanta mentira, Pepa decide dar un puñetazo sobre la mesa y tomar las riendas aprovechando que todavía no ha perdido del todo la popularidad. Quiere ser alcaldesa de su ciudad, Melilla. ¿Quién ha dicho que no puede serlo?","https://datosabiertos.jcyl.es/web/jcyl/binarios/519/484/VIVA%20LA%20PEPA,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://pentacion.com/obras-en-cartel/viva-la-pepa/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Adultos,,18-,2022-04-23T20:30+01:00,2022-04-23T21:45+01:00,Terminado,Salamanca,Béjar,Teatro Cervantes de Béjar,1284236228445,"C/ Olleros, 1",37700
1285139195165,"'Y tú, ¿qué sabes?... de Miguel de Cervantes' (ARAWAKE)","Es Federico quien nos llega a la mesa a través de las aulas. Lo personal del poeta granadino, esa forma de entender los versos desde la libertad, el sonambulismo, el simbolismo y la abstracción pura del surrealismo, la ausencia de lirismo emocional o didáctico, la asunción de la tragedia sin el melodrama.","https://datosabiertos.jcyl.es/web/jcyl/binarios/578/408/Arawake,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",http://www.arawake.com,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,,Prensecial,,,Todos los públicos,,0-,2022-04-20T19:00+01:00,2022-04-20T19:45+01:00,Terminado,Salamanca,Villamayor,Teatro Casa de la Cultura Antonio Gamoneda (Villamayor),1284305892589,"C/ Escuelas Nuevas, s/n",37185
1285141535187,'A vueltas con Lorca' (DOS HERMANAS CATORCE),"Es Federico quien nos llega a la mesa a través de las aulas. Lo personal del poeta granadino, esa forma de entender los versos desde la libertad, el sonambulismo, el simbolismo y la abstracción pura del surrealismo, la ausencia de lirismo emocional o didáctico, la asunción de la tragedia sin el melodrama.","https://datosabiertos.jcyl.es/web/jcyl/binarios/998/254/A%20vueltas%20con%20Lorca,10.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.doshermanascatorce.com/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Todos los públicos,,0-,2022-04-30T20:30+01:00,2022-04-30T21:45+01:00,Terminado,Salamanca,Béjar,Teatro Cervantes de Béjar,1284236228445,"C/ Olleros, 1",37700
1285141564385,'ABBA - live in concert - 50 aniversario' (TEATRALMENTE PRODUCCIONES),"ABBA LIVE IN CONCERT, 50º ANIVERSARIO, recorre las canciones más representativas de la mítica banda sueca, con una puesta en escena divertida y original.","https://datosabiertos.jcyl.es/web/jcyl/binarios/273/966/ABBA%20-%20LIVE%20IN%20CONCERT%20-%2050%20ANIVERSARIO,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.teatralmente.com/abba.html,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,false,Prensecial,,,Adultos,,18-,2022-05-01T20:30+01:00,2022-05-01T22:00+01:00,Terminado,Salamanca,Béjar,Teatro Cervantes de Béjar,1284236228445,"C/ Olleros, 1",37700
1285143361309,'Abrojo folk - El sueño que sobrevive' (ETNO SONIDO PRODUCCIONES),"Desde hace veinticinco años Abrojo Folk está difundiendo la música tradicional por todo el territorio nacional. En su caminar por este espacio de tiempo Abrojo Folk ha grabado cuatro discos, Barrios y Lugares, Remembranzas, Entre trigos y pinares y El sueño que sobrevive, este último grabado recientemente en los estudios de grabación Armando Records de Valladolid, en ellos ha difundido tradiciones de nuestra tierra y de otras comunidades, además en el último trabajo El sueño que sobrevive ha incorporado canciones propias del grupo.","https://datosabiertos.jcyl.es/web/jcyl/binarios/179/753/El%20sue%C3%B1o%20sobrevive,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.abrojo.org/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,false,Prensecial,,,Todos los públicos,,0-,2022-05-07T18:00+01:00,2022-05-07T19:30+01:00,Terminado,Salamanca,Ciudad Rodrigo,Teatro Nuevo Fernando Arrabal,Teatro Nuevo Fernando Arrabal,"C/ Gigantes, 22.",37500
1285153632819,'Antes muerta que convicta' (BEATRIZ RICO),"ANTES MUERTA QUE CONVICTA es algo más que una función de teatro, algo más que una simple comedia, es un espectáculo de teatro y humor, de teatro y música, de baile y teatro, de teatro e interacción... digamos que un cabaret de teatro único en gira.","https://datosabiertos.jcyl.es/web/jcyl/binarios/777/482/Antes%20muerta%20que%20convicta,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.beatrizrico.es/index.html,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,true,Prensecial,,,Adultos,,18-,2022-08-07T22:00+01:00,2022-08-07T23:15+01:00,Por empezar,Salamanca,Vitigudino,Centro Cultural (Vitigudino),1284236230890,"C/ San Blas, 2.",37210
1285137762140,'Con la cabeza en las nubes' (EUGENIA MANZANERA DE LA FUENTE),"Eugenia Manzanera quiere celebrar, que lleva en esto de la farándula 30 años.

","https://datosabiertos.jcyl.es/web/jcyl/binarios/603/951/Con%20la%20cabeza%20en%20las%20nubes,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://eugeniamanzanera.com/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,,Prensecial,,,Público familiar,,0-,2022-04-08T18:30+01:00,2022-04-08T19:20+01:00,Terminado,Salamanca,Villares de la Reina,Auditorio Municipal de Villares de la Reina,1285134251775,Calle Fuente 44,37184
